User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
3,4024007197838753,2024,1,17,16:10:15,$4500.00,Online Transaction,Crypto Exchange,Unknown,XX,00000,4829,Technical Glitch,Yes
4,4485983798956842,2024,1,17,08:30:50,$48.25,Chip Transaction,Tim Hortons,Boston,MA,02101,5812,,No
4,4485983798956842,2024,1,17,13:00:15,$215.00,Online Transaction,Bloomingdales,New York,NY,10001,5651,,No
4,4485983798956842,2024,1,17,18:25:30,$425.00,Chip Transaction,Sams Club,Portland,OR,97201,5300,,No
5,4716182845649273,2024,1,17,09:15:45,$82.50,Chip Transaction,Sprouts Market,San Diego,CA,92101,5411,,No
5,4716182845649273,2024,1,17,14:30:10,$1560.00,Online Transaction,Gaming Console Store,Las Vegas,NV,89101,5732,,No
5,4716182845649273,2024,1,17,20:00:25,$52.00,Swipe Transaction,Dominos Pizza,Sacramento,CA,95814,5812,,No
6,4929460856247301,2024,1,17,07:45:30,$32.50,Chip Transaction,Exxon,Austin,TX,78701,5541,,No
6,4929460856247301,2024,1,17,11:20:55,$145.00,Chip Transaction,JCPenney,Philadelphia,PA,19101,5311,,No
6,4929460856247301,2024,1,17,15:55:20,$12.99,Online Transaction,Netflix,New York,NY,10001,5815,,No
7,4532987654321098,2024,1,18,08:00:00,$38.75,Chip Transaction,Chipotle,Washington,DC,20001,5812,,No
7,4532987654321098,2024,1,18,12:45:25,$545.00,Swipe Transaction,Dell Computers,Charlotte,NC,28201,5732,,No
7,4532987654321098,2024,1,18,17:30:50,$125.00,Online Transaction,Ulta Beauty,Nashville,TN,37201,5977,,No
8,4716543210987654,2024,1,18,06:30:15,$25.00,Swipe Transaction,Circle K,Orlando,FL,32801,5411,,No
8,4716543210987654,2024,1,18,10:55:40,$78.50,Chip Transaction,Books A Million,Tampa,FL,33601,5942,,No
8,4716543210987654,2024,1,18,16:40:05,$189.00,Online Transaction,Wayfair,Minneapolis,MN,55401,5699,,No
9,4929123456789012,2024,1,18,09:25:30,$72.25,Chip Transaction,Aldi,Detroit,MI,48201,5411,,No
9,4929123456789012,2024,1,18,14:10:55,$225.00,Chip Transaction,Old Navy,Cleveland,OH,44101,5651,,No
9,4929123456789012,2024,1,18,19:55:20,$1250.00,Online Transaction,Hotel Booking,Las Vegas,NV,89101,4722,,No
0,4532015112830366,2024,1,18,10:00:00,$150.00,Chip Transaction,Sephora,New York,NY,10001,5977,,No
0,4532015112830366,2024,1,18,14:30:25,$89.99,Online Transaction,Steam Games,Los Angeles,CA,90001,5816,,No
0,4532015112830366,2024,1,18,19:15:40,$65.50,Swipe Transaction,CVS Pharmacy,Chicago,IL,60601,5912,,No
1,4916338506082832,2024,1,18,08:45:55,$52.00,Chip Transaction,Chick-fil-A,San Francisco,CA,94102,5812,,No
1,4916338506082832,2024,1,18,13:15:20,$789.00,Chip Transaction,Sony Store,Seattle,WA,98101,5732,,No
1,4916338506082832,2024,1,18,18:40:45,$456.00,Online Transaction,Designer Handbags,Miami,FL,33101,5944,,No
2,4539578763621486,2024,1,18,07:15:10,$32.00,Swipe Transaction,Wendys,Houston,TX,77001,5814,,No
2,4539578763621486,2024,1,18,11:45:35,$168.00,Chip Transaction,Ross Dress for Less,Phoenix,AZ,85001,5311,,No
2,4539578763621486,2024,1,18,16:20:50,$345.75,Online Transaction,Under Armour,Denver,CO,80201,5661,,No
3,4024007197838753,2024,1,18,06:50:25,$40.00,Chip Transaction,Texaco,Dallas,TX,75201,5541,,No
3,4024007197838753,2024,1,18,11:25:40,$275.00,Swipe Transaction,Menards,Atlanta,GA,30301,5211,,No
3,4024007197838753,2024,1,18,15:50:15,$85.00,Chip Transaction,PetSmart,Dallas,TX,75201,5995,,No
4,4485983798956842,2024,1,18,09:10:50,$55.50,Chip Transaction,Krispy Kreme,Boston,MA,02101,5812,,No
4,4485983798956842,2024,1,18,13:35:15,$289.00,Online Transaction,Saks Fifth Avenue,New York,NY,10001,5651,,No
4,4485983798956842,2024,1,18,18:00:30,$175.00,Chip Transaction,BJs Wholesale,Portland,OR,97201,5300,,No
5,4716182845649273,2024,1,19,09:45:45,$95.00,Chip Transaction,Natural Grocers,San Diego,CA,92101,5411,,No
5,4716182845649273,2024,1,19,14:00:10,$2340.00,Online Transaction,Laptop Store,Las Vegas,NV,89101,5732,,Yes
5,4716182845649273,2024,1,19,19:45:25,$48.00,Swipe Transaction,Papa Johns,Sacramento,CA,95814,5812,,No
6,4929460856247301,2024,1,19,08:15:30,$38.00,Chip Transaction,Valero,Austin,TX,78701,5541,,No
6,4929460856247301,2024,1,19,12:40:55,$175.00,Chip Transaction,Belk,Philadelphia,PA,19101,5311,,No
6,4929460856247301,2024,1,19,17:05:20,$9.99,Online Transaction,Hulu,New York,NY,10001,5815,,No
7,4532987654321098,2024,1,19,08:30:00,$42.00,Chip Transaction,Taco Bell,Washington,DC,20001,5812,,No
7,4532987654321098,2024,1,19,13:15:25,$425.00,Swipe Transaction,Lenovo Store,Charlotte,NC,28201,5732,,No
7,4532987654321098,2024,1,19,17:50:50,$89.00,Online Transaction,Bath & Body Works,Nashville,TN,37201,5977,,No
8,4716543210987654,2024,1,19,07:00:15,$22.50,Swipe Transaction,Wawa,Orlando,FL,32801,5411,,No
8,4716543210987654,2024,1,19,11:25:40,$65.00,Chip Transaction,Half Price Books,Tampa,FL,33601,5942,,No
8,4716543210987654,2024,1,19,16:50:05,$275.00,Online Transaction,Overstock,Minneapolis,MN,55401,5699,,No
9,4929123456789012,2024,1,19,10:00:30,$68.00,Chip Transaction,Lidl,Detroit,MI,48201,5411,,No
9,4929123456789012,2024,1,19,14:45:55,$198.00,Chip Transaction,Express,Cleveland,OH,44101,5651,,No
9,4929123456789012,2024,1,19,20:20:20,$890.00,Online Transaction,Airline Tickets,Atlanta,GA,30301,4722,,No
0,4532015112830366,2024,1,19,10:30:00,$175.00,Chip Transaction,MAC Cosmetics,New York,NY,10001,5977,,No
0,4532015112830366,2024,1,19,15:00:25,$65.99,Online Transaction,Epic Games,Los Angeles,CA,90001,5816,,No
0,4532015112830366,2024,1,19,19:45:40,$85.00,Swipe Transaction,Walgreens,Chicago,IL,60601,5912,,No
1,4916338506082832,2024,1,19,09:15:55,$48.00,Chip Transaction,Popeyes,San Francisco,CA,94102,5812,,No
1,4916338506082832,2024,1,19,13:45:20,$645.00,Chip Transaction,LG Electronics,Seattle,WA,98101,5732,,No
1,4916338506082832,2024,1,19,18:10:45,$5000.00,Online Transaction,Offshore Account,Unknown,XX,00000,4829,Bad Expiration,Yes
2,4539578763621486,2024,1,19,07:45:10,$35.00,Swipe Transaction,Arby's,Houston,TX,77001,5814,,No
2,4539578763621486,2024,1,19,12:15:35,$195.00,Chip Transaction,Marshalls,Phoenix,AZ,85001,5311,,No
2,4539578763621486,2024,1,19,16:50:50,$425.00,Online Transaction,Reebok Online,Denver,CO,80201,5661,,No
3,4024007197838753,2024,1,20,07:20:25,$42.00,Chip Transaction,Murphy USA,Dallas,TX,75201,5541,,No
3,4024007197838753,2024,1,20,11:55:40,$389.00,Swipe Transaction,Ace Hardware,Atlanta,GA,30301,5211,,No
3,4024007197838753,2024,1,20,16:30:15,$120.00,Chip Transaction,Petco,Dallas,TX,75201,5995,,No
4,4485983798956842,2024,1,20,09:40:50,$62.00,Chip Transaction,Corner Bakery,Boston,MA,02101,5812,,No
4,4485983798956842,2024,1,20,14:05:15,$345.00,Online Transaction,Neiman Marcus,New York,NY,10001,5651,,No
4,4485983798956842,2024,1,20,18:30:30,$225.00,Chip Transaction,Costco Wholesale,Portland,OR,97201,5300,,No
5,4716182845649273,2024,1,20,10:15:45,$88.00,Chip Transaction,Vitamin Shoppe,San Diego,CA,92101,5411,,No
5,4716182845649273,2024,1,20,14:40:10,$985.00,Online Transaction,Tablet Store,Las Vegas,NV,89101,5732,,No
5,4716182845649273,2024,1,20,20:05:25,$55.00,Swipe Transaction,Little Caesars,Sacramento,CA,95814,5812,,No
6,4929460856247301,2024,1,20,08:45:30,$45.00,Chip Transaction,Sunoco,Austin,TX,78701,5541,,No
6,4929460856247301,2024,1,20,13:10:55,$210.00,Chip Transaction,Dillards,Philadelphia,PA,19101,5311,,No
6,4929460856247301,2024,1,20,17:35:20,$14.99,Online Transaction,Disney Plus,New York,NY,10001,5815,,No
7,4532987654321098,2024,1,20,09:00:00,$45.50,Chip Transaction,Five Guys,Washington,DC,20001,5812,,No
7,4532987654321098,2024,1,20,13:45:25,$698.00,Swipe Transaction,HP Store,Charlotte,NC,28201,5732,,No
7,4532987654321098,2024,1,20,18:20:50,$145.00,Online Transaction,Lush Cosmetics,Nashville,TN,37201,5977,,No
8,4716543210987654,2024,1,20,07:30:15,$28.00,Swipe Transaction,QuikTrip,Orlando,FL,32801,5411,,No
8,4716543210987654,2024,1,20,11:55:40,$95.00,Chip Transaction,2nd & Charles,Tampa,FL,33601,5942,,No
8,4716543210987654,2024,1,20,17:20:05,$350.00,Online Transaction,Pier 1 Imports,Minneapolis,MN,55401,5699,,No
9,4929123456789012,2024,1,20,10:30:30,$75.50,Chip Transaction,Fresh Market,Detroit,MI,48201,5411,,No
9,4929123456789012,2024,1,20,15:15:55,$265.00,Chip Transaction,Banana Republic,Cleveland,OH,44101,5651,,No
9,4929123456789012,2024,1,20,20:50:20,$1500.00,Online Transaction,Cruise Booking,Miami,FL,33101,4722,,No
0,4532015112830366,2024,1,20,11:00:00,$200.00,Chip Transaction,Clinique,New York,NY,10001,5977,,No
0,4532015112830366,2024,1,20,15:30:25,$78.99,Online Transaction,Origin Games,Los Angeles,CA,90001,5816,,No
0,4532015112830366,2024,1,20,20:15:40,$92.00,Swipe Transaction,Rite Aid,Chicago,IL,60601,5912,,No
